Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;camere;camere_piano;insegna;tipo_attivita_ricettiva;MUNICIPIO;LONGIT;LATIT;Location
C-EA/846;Via BRIVIO CESARE N. 33 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BRIVIO CESARE;33;1502;5;5;HOSTEL DERGANO;Affittacamere;9;9.17879309102;45.5056493411;45.5056493411, 9.17879309102
C-EA/848;Via GOZZANO GUIDO N. 4 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via GOZZANO GUIDO;4;2563;2;2;;Bed e Breakfast;3;9.23160022206;45.4841893264;45.4841893264, 9.23160022206
C-EA/858;Via BRAMANTE N. 35 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BRAMANTE;35;7123;3;3;;Bed e Breakfast;8;9.17861780011;45.48230777;45.48230777, 9.17861780011
C-EA/859;Via CAMPANINI ALFREDO N. 3 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CAMPANINI ALFREDO;3;1077;;4;;Affittacamere;9;9.19782286545;45.4860502679;45.4860502679, 9.19782286545
C-EA/862;Via CACCIANINO ANTONIO N. 8 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CACCIANINO ANTONIO;8;2419;6;6;;Affittacamere;3;9.22739133701;45.4848893858;45.4848893858, 9.22739133701
C-EA/867;Via COMANDINI ALFREDO N. 12 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via COMANDINI ALFREDO;12;1380;5;5;;Affittacamere;2;9.19953453666;45.4996294189;45.4996294189, 9.19953453666
C-EA/882;Via BERTOLAZZI CARLO N. 10 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BERTOLAZZI CARLO;10;2662;4;4;;Bed e Breakfast;3;9.24014035562;45.4838882616;45.4838882616, 9.24014035562
C-EA/886;Via ROSSO MEDARDO N. 13 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via ROSSO MEDARDO;13;1145;5;5;0;Affittacamere;9;9.18530497312;45.4900148989;45.4900148989, 9.18530497312
C-EA/892;Via SIMPLICIANO (SAN) num.002/\\\;ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via SIMPLICIANO (SAN);;1019;2;2;;Bed e Breakfast;;;;
C-EA/5;Via AIRAGHI GAETANO num.000;ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via AIRAGHI GAETANO;;6330;244;0;campeggio;Campeggio;;;;
C-EA/185;Via BASSI MARTINO N. 2 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BASSI MARTINO;2;6451;72;;ostello della gioventu;Ostello;8;9.14069133623;45.4836477119;45.4836477119, 9.14069133623
C-EA/357;Via CARAVAGGIO (DEL) N. 10 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CARAVAGGIO (DEL);10;6103;12;12;;Casa per ferie;7;9.16248473813;45.4588586948;45.4588586948, 9.16248473813
EA/1037;Via PANTELLERIA N. 5 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via PANTELLERIA;5;7395;1;;BI EN BI;Bed e Breakfast;8;9.1417720799;45.4991381663;45.4991381663, 9.1417720799
C-EA/358;Via VINCENZO (SAN) N. 7 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via VINCENZO (SAN);7;5098;32;;;Casa per ferie;1;9.17537643016;45.458624524;45.458624524, 9.17537643016
C-EA/359;Via FELTRE N. 73 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via FELTRE;73;2652;85;0|0|17|17|17|17;figlie di maria immacolata;Casa per ferie;3;9.24538399976;45.4915087769;45.4915087769, 9.24538399976
C-EA/360;Via MARTIGNONI ADELE N. 8 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MARTIGNONI ADELE;8;1362;52;11|11|28|2|0|11|11|11;;Casa per ferie;2;9.19631575878;45.4924178645;45.4924178645, 9.19631575878
C-EA/365;Viale CORSICA N. 78 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale CORSICA;78;3262;82;23|20|20|15|4;;Casa per ferie;4;9.23360674897;45.4619673504;45.4619673504, 9.23360674897
C-EA/369;Via STATUTO N. 4 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via STATUTO;4;1029;102;0;;;1;9.18628774313;45.4759985648;45.4759985648, 9.18628774313
C-EA/370;VIALE TESTI FULVIO N. 285 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIALE TESTI FULVIO;285;1441;65;;pensionato belloni;Case Ferie;9;9.20950584085;45.5228199926;45.5228199926, 9.20950584085
C-EA/371;Via ARENA num.013/15 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via ARENA;;5182;41;0;;Casa per ferie;;;;
C-EA/377;Via CARNIA N. 14 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CARNIA;14;2395;102;23;10;casa universitaria bertoni;3;9.23671934145;45.4926394595;45.4926394595, 9.23671934145
C-EA/388;VIA SBARBARO CAMILLO N. 11 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIA SBARBARO CAMILLO;11;1712;51;;casa dell ospitalita;Case Ferie;9;9.18219997853;45.5171775076;45.5171775076, 9.18219997853
C-EA/389;Via MERCALLI GIUSEPPE N. 18 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MERCALLI GIUSEPPE;18;4011;101;;pensionato arcivescovile s. filippo neri;;1;9.1892237902;45.4553191972;45.4553191972, 9.1892237902
C-EA/393;Via TIMAVO N. 14 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via TIMAVO;14;1174;56;;pensionato universitario;Casa per ferie;2;9.19783161897;45.4893585232;45.4893585232, 9.19783161897
C-EA/394;Via MAC MAHON N. 92 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MAC MAHON;92;7221;21;;;Casa per ferie;8;9.15830504795;45.4938469572;45.4938469572, 9.15830504795
C-EA/402;Via RIZZARDI (F.LLI) N. 15 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via RIZZARDI (F.LLI);15;6736;;;cascina campi;Agriturismo;8;9.10082026617;45.4928431899;45.4928431899, 9.10082026617
C-EA/612;Via VINCENZO (SAN) num.018/d (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via VINCENZO (SAN);;5098;4;4;;Affittacamere;;;;
C-EA/613;Via RIPAMONTI GIUSEPPE N. 126 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via RIPAMONTI GIUSEPPE;126;4066;;6;;Affittacamere;5;9.1999536403;45.4384678414;45.4384678414, 9.1999536403
C-EA/620;Via CADUTI DI MARCINELLE N. 2 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CADUTI DI MARCINELLE;2;2709;;164;;Casa per ferie;3;9.2472059361;45.4800970536;45.4800970536, 9.2472059361
C-EA/627;Via CAVRIANA N. 13 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CAVRIANA;13;3317;2;0;;Bed e Breakfast;4;9.24061311869;45.4636536528;45.4636536528, 9.24061311869
EA/907;Via PINTURICCHIO N. 16 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via PINTURICCHIO;16;2195;1;;;Bed e Breakfast;3;9.22143228543;45.4769130117;45.4769130117, 9.22143228543
C-EA/631;Via GENTILINO N. 7 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via GENTILINO;7;5204;4;0;;Affittacamere;5;9.18061179266;45.4490161099;45.4490161099, 9.18061179266
C-EA/632;Via PESTALOZZA ALESSANDRO N. 7 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via PESTALOZZA ALESSANDRO;7;2248;3;0;;Bed e Breakfast;3;9.22257615658;45.4816229044;45.4816229044, 9.22257615658
C-EA/641;Largo RIO DE JANEIRO N. 14 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Largo RIO DE JANEIRO;14;3174;3;0;;Bed e Breakfast;3;9.22407416781002;45.4738982175449;45.4738982175449, 9.22407416781002
C-EA/645;Via BINDA AMBROGIO N. 32 (z.d. 6);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BINDA AMBROGIO;32;5298;3;0;;Bed e Breakfast;6;9.15473586552;45.4414308795;45.4414308795, 9.15473586552
C-EA/658;Via CESENA N. 5 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CESENA;5;7226;5;0;;Affittacamere;8;9.16333675253;45.4915556583;45.4915556583, 9.16333675253
C-EA/661;Piazza AGOSTINO (SANT') N. 16 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Piazza AGOSTINO (SANT');16;5091;1;1;;Affittacamere;1;9.17050201518;45.4593682651;45.4593682651, 9.17050201518
C-EA/663;Via UMILIATI (DEGLI) N. 33 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via UMILIATI (DEGLI);33;3347;2;0;;Bed e Breakfast;4;9.26525704157;45.4396033114;45.4396033114, 9.26525704157
C-EA/672;Via ROSSO MEDARDO N. 13 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via ROSSO MEDARDO;13;1145;5;5;;Affittacamere;9;9.18530497312;45.4900148989;45.4900148989, 9.18530497312
C-EA/676;PIAZZA ASSUNTA (DELL') N. 1 casa fatima (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;PIAZZA ASSUNTA (DELL');1;4247;22;22;casa fatima;Case Ferie;5;9.20335478751;45.4337994318;45.4337994318, 9.20335478751
C-EA/680;Via TANTARDINI ANTONIO N. 60 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via TANTARDINI ANTONIO;60;5224;;0;;Bed e Breakfast;5;9.1858065684;45.4468960758;45.4468960758, 9.1858065684
C-EA/689;Via CHIASSO N. 4 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CHIASSO;4;7325;2;0;LA VILLETTA;Bed e Breakfast;8;9.15475165428;45.4939848156;45.4939848156, 9.15475165428
C-EA/701;Via SIGIERI GOFFREDO N. 10 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via SIGIERI GOFFREDO;10;4080;3;3;;Affittacamere;4;9.21020516331;45.4525700493;45.4525700493, 9.21020516331
EA/895;Via CASORETTO N. 52 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CASORETTO;52;2420;1;;;;3;9.23133637935;45.4890915316;45.4890915316, 9.23133637935
C-EA/834;Via ROMBON N. 53 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via ROMBON;53;2659;;1;;bed e breakfast;3;9.24635925842;45.4871092351;45.4871092351, 9.24635925842
EA/901;Via PINAMONTE DA VIMERCATE N. 5 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via PINAMONTE DA VIMERCATE;5;1017;1;;;Bed e Breakfast;1;9.1824926764;45.4790115891;45.4790115891, 9.1824926764
EA/902;Via ANFITEATRO N. 12 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via ANFITEATRO;12;1012;2;;;Affittacamere;1;9.18267043154;45.474457309;45.474457309, 9.18267043154
C-EA/711;Via ASTOLFO N. 18 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via ASTOLFO;18;2566;2;;;Affittacamere;3;9.23342367692;45.4850979293;45.4850979293, 9.23342367692
C-EA/716;Via FERMIGNANO N. 2 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via FERMIGNANO;2;1607;2;0;;Bed e Breakfast;9;9.17609574175;45.5241680172;45.5241680172, 9.17609574175
C-EA/719;Via NOVARA N. 216 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via NOVARA;216;6624;5;0;;Affittacamere;7;9.10758884125;45.4777830636;45.4777830636, 9.10758884125
C-EA/721;Via CASTALDI PANFILO N. 39 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CASTALDI PANFILO;39;2119;3;3;;Affittacamere;3;9.20532136622;45.4757266304;45.4757266304, 9.20532136622
C-EA/726;Via EDOLO N. 6 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via EDOLO;6;1217;4;4;;Affittacamere;2;9.20629875324;45.4917228008;45.4917228008, 9.20629875324
C-EA/727;Viale CASSIODORO N. 5 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale CASSIODORO;5;6359;2;2;;Bed e Breakfast;8;9.15936268475;45.4749623508;45.4749623508, 9.15936268475
C-EA/729;Via SFORZA ASCANIO N. 73 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via SFORZA ASCANIO;73;5201;4;4;;Affittacamere;5;9.17616490565;45.4426114482;45.4426114482, 9.17616490565
C-EA/731;Via POMA CARLO N. 48 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via POMA CARLO;48;3090;2;2;;Casa per ferie;4;9.2159419518;45.4636732017;45.4636732017, 9.2159419518
C-EA/734;Galleria BUENOS AIRES N. 2 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Galleria BUENOS AIRES;2;2146;3;3;;Affittacamere;3;9.21016860933;45.4789307113;45.4789307113, 9.21016860933
C-EA/739;VIA MERCATO N. 24 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIA MERCATO;24;717;4;4;LOCANDA RESENTIN;Foresteria Lombarda/Locanda;1;9.18432850961;45.4713352795;45.4713352795, 9.18432850961
C-EA/750;Via MARCO AURELIO N. 64 4g piano (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MARCO AURELIO;64;2298;1;1;;Affittacamere;2;9.22140209482;45.494440324;45.494440324, 9.22140209482
C-EA/751;Via MARCO AURELIO N. 3 4g piano (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MARCO AURELIO;3;2298;2;2;;Affittacamere;2;9.22112273843;45.4908325558;45.4908325558, 9.22112273843
C-EA/752;Via NEGROLI N. 23 1g piano (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via NEGROLI;23;3279;3;3;;Bed e Breakfast;4;9.23232457441;45.4649096988;45.4649096988, 9.23232457441
C-EA/754;Via CALABRIA N. 27 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CALABRIA;27;1233;1;1;;Bed e Breakfast;9;9.16935708967;45.4959312703;45.4959312703, 9.16935708967
C-EA/759;Via MONLUE' N. 77 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MONLUE';77;3320;1;2;;Bed e Breakfast;4;9.25511516565;45.4565143823;45.4565143823, 9.25511516565
C-EA/762;Via GIOIA MELCHIORRE N. 111 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via GIOIA MELCHIORRE;111;1108;6;4;;Affittacamere;2;9.20301676149;45.4915434247;45.4915434247, 9.20301676149
C-EA/766;Viale MONZA N. 111 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale MONZA;111;2274;4;4;;Affittacamere;2;9.21990254497;45.4976992292;45.4976992292, 9.21990254497
C-EA/767;Via BELGIOIOSO CRISTINA N. 2 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BELGIOIOSO CRISTINA;2;7501;1;1;;Bed e Breakfast;8;9.11872940041;45.5180399247;45.5180399247, 9.11872940041
C-EA/769;Viale LANCETTI VINCENZO N. 24 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale LANCETTI VINCENZO;24;1221;1;2;;Affittacamere;9;9.17678055561;45.4954431587;45.4954431587, 9.17678055561
C-EA/770;Via HARAR N. 23 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via HARAR;23;6316;2;2;;Bed e Breakfast;7;9.11525473499;45.4760560624;45.4760560624, 9.11525473499
C-EA/772;Via SOPERGA N. 19 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via SOPERGA;19;2262;4;4;;Affittacamere;2;9.20972173987;45.4882336059;45.4882336059, 9.20972173987
C-EA/774;Via MEDA GIUSEPPE N. 43 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MEDA GIUSEPPE;43;5242;1;1;;Bed e Breakfast;5;9.17871245046;45.4403555823;45.4403555823, 9.17871245046
C-EA/775;Via ADRIATICO N. 31 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via ADRIATICO;31;1598;2;0;;Bed e Breakfast;9;9.19734394653;45.5195108589;45.5195108589, 9.19734394653
C-EA/784;Viale MONZA N. 16 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale MONZA;16;2274;3;3;;Bed e Breakfast;2;9.21772429237524;45.4888277038404;45.4888277038404, 9.21772429237524
EA/896;Via CASTALDI PANFILO N. 28 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CASTALDI PANFILO;28;2119;1;;MICASA di Daniele Tommaso BOMBACI;Affittacamere;3;9.2032189427;45.4765543224;45.4765543224, 9.2032189427
EA/897;Via CATALANI ALFREDO N. 75 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CATALANI ALFREDO;75;2425;2;;;Bed e Breakfast;3;9.2244919937;45.4884033075;45.4884033075, 9.2244919937
EA/1160;Viale DORIA ANDREA N. 44 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale DORIA ANDREA;44;2230;4;;CENTRAL HOSTEL MILANO;Affittacamere;3;9.21412391958;45.4857318437;45.4857318437, 9.21412391958
EA/1458;Via AUSONIO N. 26 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via AUSONIO;26;5093;3;;;Foresteria Lombarda/Locanda;1;9.17149555144831;45.45784063573;45.45784063573, 9.17149555144831
EA/916;Via MEDICI N. 4 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MEDICI;4;558;10;;OSTELLO BELLO;;1;9.1810473397;45.4608788833;45.4608788833, 9.1810473397
EA/917;Via FERMO (SAN) N. 1 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via FERMO (SAN);1;1042;3;;;Affittacamere;1;9.18944685563;45.4758541344;45.4758541344, 9.18944685563
EA/921;Via VILLAPIZZONE (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via VILLAPIZZONE;;7272;11;;;Casa per ferie;;;;
C-EA/887;Via STAMIRA D'ANCONA num.025;ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via STAMIRA D'ANCONA;;2337;;120;;case per ferie;;;;
